,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
11,11,UrgentCare11,Street 11,Balloo,DR,9458TA,yeah nice international support,1760398084,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9959849737675,6.6312971042839
12,12,UrgentCare12,Street 12,Balloërveld,DR,9459TA,yeah nice international support,9263669287,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0231412313115,6.6359542790648
13,13,UrgentCare13,Street 13,Deurze,DR,9457TA,yeah nice international support,3884491574,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9821123753362,6.6097021858684
14,14,UrgentCare14,Street 14,Eext,DR,9463MA,yeah nice international support,9414458836,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0213287392442,6.7389726389545
15,15,UrgentCare15,Street 15,Eexterveen,DR,9658PA,yeah nice international support,8211445515,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0563462214705,6.7962770796279
16,16,UrgentCare16,Street 16,Eexterveenschekanaal,DR,9659PA,yeah nice international support,9838182873,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0636272735372,6.8231525959599
17,17,UrgentCare17,Street 17,Eexterzandvoort,DR,9464TD,yeah nice international support,4472644968,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0301547514026,6.7856581967306
18,18,UrgentCare18,Street 18,Ekehaar,DR,9454PD,yeah nice international support,1910584091,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9531325235915,6.6008450962527
19,19,UrgentCare19,Street 19,Eldersloo,DR,9453VC,yeah nice international support,7539110790,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9654030755410,6.6132138428813
20,20,UrgentCare20,Street 20,Eleveld,DR,9456TC,yeah nice international support,9853353331,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9575395023157,6.5827889036511
21,21,UrgentCare21,Street 21,Gasselte,DR,9462PA,yeah nice international support,2324778273,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9783583646979,6.7977267530492
22,22,UrgentCare22,Street 22,Gasselternijveen,DR,9514ZG,yeah nice international support,2138149956,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9834755845128,6.8512370506053
23,23,UrgentCare23,Street 23,Gasselternijveenschemond,DR,9515AT,yeah nice international support,8693774911,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9933635345261,6.9345136826910
24,24,UrgentCare24,Street 24,Gasteren,DR,9466PA,yeah nice international support,8183515637,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0368817728548,6.6668874310516
25,25,UrgentCare25,Street 25,Gieten,DR,9461AA,yeah nice international support,7821866378,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0060418767734,6.7661109593345
26,26,UrgentCare26,Street 26,Gieterveen,DR,9511PA,yeah nice international support,9342231109,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0059916715450,6.8439416336380
27,27,UrgentCare27,Street 27,Grolloo,DR,9444PA,yeah nice international support,4797652072,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9354187323033,6.6733522048377
28,28,UrgentCare28,Street 28,Marwijksoord,DR,9448TA,yeah nice international support,8193831650,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9656756371320,6.6474806022663
29,29,UrgentCare29,Street 29,Nieuw Annerveen,DR,9657PC,yeah nice international support,4429961588,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0691707551594,6.7756971915955
30,30,UrgentCare30,Street 30,Nieuwediep,DR,9512SB,yeah nice international support,9888298971,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0512282365858,6.8435973977354
31,31,UrgentCare31,Street 31,Nijlande,DR,9452VA,yeah nice international support,6158288344,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9736973580787,6.6253469692924
32,32,UrgentCare32,Street 32,Nooitgedacht,DR,9449PA,yeah nice international support,8304784443,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9769717664803,6.6639617047157
33,33,UrgentCare33,Street 33,Oud Annerveen,DR,9655PD,yeah nice international support,5597786623,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0877193796399,6.7640815663306
34,34,UrgentCare34,Street 34,Papenvoort,DR,9447TS,yeah nice international support,6587988459,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9504395159460,6.7035724746593
35,35,UrgentCare35,Street 35,Rolde,DR,9451AA,yeah nice international support,9575641803,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9881440905742,6.6400579824195
36,36,UrgentCare36,Street 36,Schipborg,DR,9469PE,yeah nice international support,1053361739,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0734442785221,6.6688369496447
37,37,UrgentCare37,Street 37,Schoonloo,DR,9443PA,yeah nice international support,8150761883,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9043022763330,6.7009175269416
38,38,UrgentCare38,Street 38,Spijkerboor,DR,9656PD,yeah nice international support,6129038907,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0773912574770,6.7637237284725
39,39,UrgentCare39,Street 39,Vredenheim,DR,9445XE,yeah nice international support,3808658932,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9450937755930,6.6611416990087
40,40,UrgentCare40,Street 40,Noordlaren,DR,9749TA,yeah nice international support,2473387780,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1211705514080,6.6685822494692
41,41,UrgentCare41,Street 41,Alteveer,DR,9306TA,yeah nice international support,9185383115,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1141148570697,6.4281898493686
42,42,UrgentCare42,Street 42,Een,DR,9342PA,yeah nice international support,6833742716,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0738092092379,6.3924654496890
43,43,UrgentCare43,Street 43,Een-West,DR,9343TA,yeah nice international support,8715050020,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0839726156678,6.3378949902542
44,44,UrgentCare44,Street 44,Foxwolde,DR,9314TA,yeah nice international support,6109623071,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1519999162846,6.4593664645080
45,45,UrgentCare45,Street 45,Huis ter Heide,DR,9336TA,yeah nice international support,8311134652,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0240930614410,6.4818472768473
46,46,UrgentCare46,Street 46,Langelo,DR,9333PA,yeah nice international support,4120281907,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0925004627573,6.4433389682958
47,47,UrgentCare47,Street 47,Leutingewolde,DR,9313TE,yeah nice international support,4660772719,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1563117940184,6.4323916533785
48,48,UrgentCare48,Street 48,Lieveren,DR,9304TG,yeah nice international support,7087659062,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1167775464415,6.4816596762525
49,49,UrgentCare49,Street 49,Matsloot,DR,9749TJ,yeah nice international support,3315663110,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1961828761430,6.4631706055768
50,50,UrgentCare50,Street 50,Nietap,DR,9312PA,yeah nice international support,4442961397,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1633507239510,6.3952471472965
51,51,UrgentCare51,Street 51,Nieuw-Roden,DR,9311PA,yeah nice international support,9539813105,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1311021123387,6.4011160821456
52,52,UrgentCare52,Street 52,Norg,DR,9331AA,yeah nice international support,1591569721,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0667176980654,6.4604494540531
53,53,UrgentCare53,Street 53,Peest,DR,9334TA,yeah nice international support,2139585917,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0605735718567,6.4976115877375
54,54,UrgentCare54,Street 54,Peize,DR,9321AA,yeah nice international support,8204764712,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1488911404737,6.4904627592473
55,55,UrgentCare55,Street 55,Roden,DR,9300AA,yeah nice international support,9050264449,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1375272563083,6.4335717044272
56,56,UrgentCare56,Street 56,Roderesch,DR,9305TA,yeah nice international support,8303989579,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1175243516448,6.4198792908196
57,57,UrgentCare57,Street 57,Roderwolde,DR,9315PA,yeah nice international support,6909156333,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1674131006727,6.4690670030119
58,58,UrgentCare58,Street 58,Steenbergen,DR,9307PA,yeah nice international support,5429879825,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.1003286050364,6.4063056229672
59,59,UrgentCare59,Street 59,Veenhuizen,DR,9341AA,yeah nice international support,4184312746,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0414224134073,6.3913310606326
60,60,UrgentCare60,Street 60,Westervelde,DR,9337PA,yeah nice international support,7706343734,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0521795250202,6.4438312610268
61,61,UrgentCare61,Street 61,Zuidvelde,DR,9335TA,yeah nice international support,5476771718,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,53.0459151849418,6.4581388213548
62,62,UrgentCare62,Street 62,Wolvega,DR,9471SX,yeah nice international support,8158377901,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8700452824700,5.9949814506481
63,63,UrgentCare63,Street 63,Appelscha,DR,9422TK,yeah nice international support,1384065704,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9461567324850,6.4053911619943
64,64,UrgentCare64,Street 64,1e Exloërmond,DR,9573PA,yeah nice international support,5112087610,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9197994593135,6.9132677898224
65,65,UrgentCare65,Street 65,2e Exloërmond,DR,9571AA,yeah nice international support,1264975024,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9003449607775,6.9182649917867
66,66,UrgentCare66,Street 66,2e Valthermond,DR,7877TA,yeah nice international support,6125624717,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9081054824744,7.0201154897479
67,67,UrgentCare67,Street 67,Borger,DR,9531AA,yeah nice international support,3659802269,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9264041815632,6.7902332044114
68,68,UrgentCare68,Street 68,Bronneger,DR,9527TA,yeah nice international support,6202729479,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9528307747901,6.8230141138493
69,69,UrgentCare69,Street 69,Bronnegerveen,DR,9526TA,yeah nice international support,1282286269,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9624610066101,6.8208559445770
70,70,UrgentCare70,Street 70,Buinen,DR,9528PA,yeah nice international support,2983331750,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9325515626893,6.8263575009798
71,71,UrgentCare71,Street 71,Buinerveen,DR,9524PA,yeah nice international support,2403119657,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9357119495107,6.8828432371927
72,72,UrgentCare72,Street 72,Drouwen,DR,9533PA,yeah nice international support,7829895923,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9505029293999,6.7906194700024
73,73,UrgentCare73,Street 73,Drouwenermond,DR,9523AX,yeah nice international support,8621642512,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9897742705658,6.9389578698883
74,74,UrgentCare74,Street 74,Drouwenerveen,DR,9525TA,yeah nice international support,3862113702,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9743172095293,6.8449125291161
75,75,UrgentCare75,Street 75,Ees,DR,9536PA,yeah nice international support,2241334655,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9116349553372,6.8013477378699
76,76,UrgentCare76,Street 76,Eesergroen,DR,9537TA,yeah nice international support,1482907257,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8974548040103,6.7888934784125
77,77,UrgentCare77,Street 77,Eeserveen,DR,7858TA,yeah nice international support,8928831643,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8836484928563,6.7420869342393
78,78,UrgentCare78,Street 78,Ellertshaar,DR,9535TA,yeah nice international support,5991797301,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8949909383440,6.7378531337029
79,79,UrgentCare79,Street 79,Exloërveen,DR,9574PA,yeah nice international support,4064819019,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9059725487764,6.9070902761145
80,80,UrgentCare80,Street 80,Exloo,DR,7875ZG,yeah nice international support,3978233018,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8940994273602,6.8661210676215
81,81,UrgentCare81,Street 81,Klijndijk,DR,7871PA,yeah nice international support,2795498694,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8336971392237,6.8587340195381
82,82,UrgentCare82,Street 82,Nieuw-Buinen,DR,9520AA,yeah nice international support,1598140041,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.0874102386733,4.6558271498448
83,83,UrgentCare83,Street 83,Odoorn,DR,7873ZG,yeah nice international support,2388862788,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8539770255830,6.8433783346067
84,84,UrgentCare84,Street 84,Odoornerveen,DR,7874TB,yeah nice international support,5921919021,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8555300465805,6.7620736572182
85,85,UrgentCare85,Street 85,Valthe,DR,7872PA,yeah nice international support,4953062911,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8437994693403,6.8751648022064
86,86,UrgentCare86,Street 86,Valthermond,DR,7876AA,yeah nice international support,7221458280,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8579439038722,6.9158275238713
87,87,UrgentCare87,Street 87,Westdorp,DR,9534PA,yeah nice international support,6918424343,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9069481364923,6.7706549120700
88,88,UrgentCare88,Street 88,Zandberg,DR,9564PA,yeah nice international support,6637008055,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.9184521362954,7.0251740735821
89,89,UrgentCare89,Street 89,Alteveer gem Hoogeveen,DR,7907GC,yeah nice international support,8839692041,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7064268576268,6.4776457618933
90,90,UrgentCare90,Street 90,Elim,DR,7916PA,yeah nice international support,2372812453,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.6808480335324,6.5807392065486
91,91,UrgentCare91,Street 91,Fluitenberg,DR,7931PA,yeah nice international support,2930018631,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7338611132665,6.4465864492404
92,92,UrgentCare92,Street 92,Hollandscheveld,DR,7913AA,yeah nice international support,9252858217,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7169982302821,6.5381568647910
93,93,UrgentCare93,Street 93,Hoogeveen,DR,7900AA,yeah nice international support,8902443631,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7330831929254,6.4741786979159
94,94,UrgentCare94,Street 94,Nieuweroord,DR,7910TL,yeah nice international support,5912138218,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7437889414680,6.5637894980521
95,95,UrgentCare95,Street 95,Nieuwlande,DR,7918AA,yeah nice international support,9672546632,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7038461991803,6.6108216796928
96,96,UrgentCare96,Street 96,Noordscheschut,DR,7914NA,yeah nice international support,7517317514,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7235508054090,6.5315027238563
97,97,UrgentCare97,Street 97,Pesse,DR,7933ZG,yeah nice international support,1815074904,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7737996291750,6.4451466410290
98,98,UrgentCare98,Street 98,Stuifzand,DR,7934PA,yeah nice international support,9364679180,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7410715000220,6.4808960519711
99,99,UrgentCare99,Street 99,Tiendeveen,DR,7936PA,yeah nice international support,8004488500,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7456789300678,6.5448928082903
100,100,UrgentCare100,Street 100,Barger-Compascuum,DR,7884NA,yeah nice international support,3718450071,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7563325502866,7.0437484366740
101,101,UrgentCare101,Street 101,Emmen,DR,7766AE,yeah nice international support,7169803385,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7653618092690,6.9577362533303
102,102,UrgentCare102,Street 102,Emmer-Compascuum,DR,7880AA,yeah nice international support,8404056823,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.0874102386733,4.6558271498448
103,103,UrgentCare103,Street 103,Erica,DR,7881AG,yeah nice international support,3772702441,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7139945096640,6.9197443669612
104,104,UrgentCare104,Street 104,Klazienaveen,DR,7890AA,yeah nice international support,7841778805,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7268263176042,6.9700742903738
105,105,UrgentCare105,Street 105,Klazienaveen-Noord,DR,7889TS,yeah nice international support,2774569258,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7570646765849,7.0044313089706
106,106,UrgentCare106,Street 106,Nieuw-Amsterdam,DR,7823GV,yeah nice international support,1116104765,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7135172554980,6.8571836792147
107,107,UrgentCare107,Street 107,Nieuw-Dordrecht,DR,7823PG,yeah nice international support,9663495868,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.7921605311010,6.9360369606158
108,108,UrgentCare108,Street 108,Nieuw-Schoonebeek,DR,7766AA,yeah nice international support,9239763083,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.6494241146729,6.9452008649116
109,109,UrgentCare109,Street 109,Nieuw-Weerdinge,DR,7813HB,yeah nice international support,9531163850,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8457809103340,6.9564693051457
110,110,UrgentCare110,Street 110,Roswinkel,DR,7895AA,yeah nice international support,4646721379,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.8382763772730,7.0417812231115
111,111,UrgentCare111,Street 111,Schoonebeek,DR,7761AA,yeah nice international support,4468966812,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.6580795769349,6.8956074475589
112,112,UrgentCare112,Street 112,Veenoord,DR,7761PV,yeah nice international support,2029050113,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",Proprietary,No,Not Available,52.6842391107640,6.8640100403917
